id,availability,condition,description,image_link,link,title,price,sale_price,brand
"PL-036","in stock","new","Expose your natural beauty with this exquisite collection of nude and metallic hues. These smooth, powdered shadows blend seamlessly to create an array of day or evening looks. The slim palette holds all twenty shadows, allowing for easy on-the-go application.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/e/revealed-with-blur-1150_1_1.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-revealed-palette.html?___store=default","Coastal Scents Revealed Palette","90.000000","54.000000","Coastal Scents"
"PL-037","in stock","new","Influenced by the lustrous beauty of its predecessor, the Revealed 2 palette presents an ALL NEW selection of twenty gorgeous mattes and shimmers.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/p/l/pl-037_side_2.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-revealed-2.html?___store=default","Coastal Scents Revealed 2","90.000000","49.000000","Coastal Scents"
"ABH01-86004","in stock","new","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_caramel_2_1.jpg","https://stage-glamazle.hyperx.cloud/anastasia-beverly-hills-brow-wiz-caramel.html?___store=default","Anastasia Brow Wiz - Caramel","114.000000","99.000000","Anastasia"
"SB_lidprim","in stock","new","Create the perfect canvas for shadow application with this ultra-luxurious lid primer. Just like our best-selling, award-winning face primer, this formula glides on and instantly helps smooth and perfect lids. Wear it alone for a flawless natural eye or under any shadow. Soft focus pearls help diminish the appearance of fine lines and discoloration on the lids.
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/b/sb_c583_skuc58301_340.jpg","https://stage-glamazle.hyperx.cloud/smashbox-photo-finish-lid-primer.html?___store=default","SMASHBOX Photo Finish Lid Primer","131.000000","98.000000","Smashbox"
"5060050422976","in stock","new","Multi-purpose waterproof gel eyeliner that glides on and stays on. Delivers pure pigment smoothly and easily for an intense pop of colour that can be used as liner and shadow. Twist up colour for automatic application with built-in sharpener to ensure your liner is always on point.

Midnight Blue: For a sultry gaze our navy liner shot with pearl has all the definition of black but softer.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/a/makin-eyes-blue-600x750_1.jpg","https://stage-glamazle.hyperx.cloud/eyeko-making-eyes-automatic-gel-eyeliner-midnight-blue.html?___store=default","EYEKO Making Eyes Automatic Gel Eyeliner - Midnight Blue","99.000000","59.000000","Eyeko"
"5060050422977","in stock","new","Multi-purpose waterproof gel eyeliner that glides on and stays on. Delivers pure pigment smoothly and easily for an intense pop of colour that can be used as liner and shadow. Twist up colour for automatic application with built-in sharpener to ensure your liner is always on point.

Plum Wine: For an update on brown liner make this deep burgundy with a subtle metallic finish your choice to flatter any eye colour.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/a/makin-eyes-blue-600x750_2.jpg","https://stage-glamazle.hyperx.cloud/eyeko-making-eyes-automatic-gel-eyeliner-plum-wine.html?___store=default","EYEKO Making Eyes Automatic Gel Eyeliner - Plum wine","99.000000","59.000000","Eyeko"
"43913","in stock","new","The In the Moment eye shadow palette is a stunning collection of Stila's award-winning eye shadows, featuring a mix of pretty purples and ultra-wearable, neutral shades that flatter every skin tone and can be worn wet or dry.&nbsp;The palette also includes an exclusive Smudge Stick Waterproof Eye Liner in Tetra, a deep shimmery purple.&nbsp;Also included: An eight page look book with comprehensive application tips and tricks.&nbsp;Shades include:

Instinct - light baby pink with pink &amp; white shimmer
Desire - soft, creamy mid-tone pink
Impulse - pale lavender with lavender shimmer
Wonder - mid-tone flesh pink with shimmer
Glance - intense violet with shimmer
Spontaneous - soft beige-gold with shimmer
Improvise - deep plum with pink sparkle
Whim - soft warm reddish-brown with shimmer
Catalyst - black with pink sparkle
Captivate - mid-tone purple-brown with golden pearl
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/t/stila_in_the_moment_eye_shadow_palette.jpg","https://stage-glamazle.hyperx.cloud/stila-in-the-moment-eye-shadow-palette.html?___store=default","Stila In the Moment eye Shadow Palette","211.000000","39.000000","Stila"
"32028","out of stock","new","This innovative, triple-swirled helix serum instantly color-corrects, brightens and covers skin imperfections for a flawless face with no fuss.&nbsp;This primer, color-corrector, brightener and anti-aging skincare serum does it all with the help of Stila's Youth Revival Bio-Available Mineral Complex&trade;:&nbsp;

Magician- Instantly makes imperfections disappear
Multitasker - Reduces fine lines, wrinkles, pores and pigmentation
Miracle Worker- Hydrates, controls oil and improves skin texture

The revolutionary new product contains 3 color-correcting brighteners:

Green&nbsp;tone instantly neutralizes redness and conceals blemishes
Lavender&nbsp;tone counteracts sallow undertones for a vibrant, energized look
Peach&nbsp;tone brightens, illuminates and helps diminish the appearance of sun spots

The weightless, creamy formula blends imperceptibly into skin and won't clog pores or settle into fine lines... so all anyone will notice is your perfectly flawless skin!&nbsp;","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/o/n/one_step_correct.jpg","https://stage-glamazle.hyperx.cloud/stila-one-step-corrector.html?___store=default","Stila One Step Corrector","181.000000","49.000000","Stila"
"43746","in stock","new","Set &amp; Correct is a lightweight, 3-in-1 baked correcting powder that color-corrects, brightens, evens skintone and sets makeup for a flawless, satin finish. This sheer, buildable powder contains three color-correcting powders, which work in tandem to correct the skin and set foundation. Shades include:&nbsp;

Peach - brightens and illuminates
Green - minimizes redness
Lavender - counteracts sallow undertones

A unique baking technique causes the binder to evaporate, which creates a velvety finish and a lightweight feel on the skin. This luxe powder also contains Vitamin E antioxidant protection and jojoba oils to help moisturize and condition the skin. The product is hypo-allergenic and paraben free.&nbsp;Packaged in a sleek black compact with a mirror and an ingenious shaver that evenly distributes each shade and turns it into a fine, silky loose powder for effortless application.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/t/stila_set_correct_baked_powder_trio.jpg","https://stage-glamazle.hyperx.cloud/stila-set-correct-baked-powder-trio.html?___store=default","Stila Set & Correct Baked Powder Trio","169.000000","39.000000","Stila"
"MC-star","in stock","new","Remember that one time when the love of your life kissed you under the moonlight and you gazed into each other’s eyes and you just knew it was for eternity…

Yeah neither do we.

Based on your feedback we made this color even more awesome! We turned up the pigment a notch to make it more electric! We know you'll be pleasantly surprised.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/y/by_starlight.jpg","https://stage-glamazle.hyperx.cloud/melt-cosmetics-lipstick-by-starlight.html?___store=default","Melt Cosmetics Lipstick - By Starlight","99.000000","10.000000","Melt Cosmetics"
